deporte_id,dia,hora_inicio,hora_fin,cupo_maximo,cupos_ocupados,estado,precio,plan,categoria,nivel,ano_min,ano_max,genero
1,MARTES,18:30:00,19:50:00,20,0,activo,200,Premium,2009-2010-2011-2012,PC,2009,2012,Mixto
1,JUEVES,15:30:00,16:50:00,20,0,activo,120,Estándar,2018-2019,NF,2018,2019,Mixto
1,JUEVES,15:30:00,16:50:00,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
1,JUEVES,15:30:00,16:50:00,20,1,activo,120,Estándar,2008-2009-2010-2011,NF,2008,2011,Mixto
1,JUEVES,17:00:00,18:20:00,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
1,JUEVES,17:00:00,18:20:00,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
1,JUEVES,17:00:00,18:20:00,20,2,activo,120,Estándar,2014-2013-2012,NF,2012,2014,Mixto
1,JUEVES,18:30:00,19:50:00,20,0,activo,200,Premium,2009-2010-2011-2012,PREMIUM,2009,2012,Mixto
1,SABADO,08:30:00,09:50:00,20,0,activo,0,null,2008-2009,,2008,2009,Mixto
1,SABADO,08:30:00,09:50:00,20,1,activo,120,Estándar,2010-2011,NF,2010,2011,Mixto
1,SABADO,08:30:00,09:50:00,20,2,activo,120,Estándar,2012-2013,NF,2012,2013,Mixto
1,SABADO,08:30:00,09:50:00,20,0,activo,120,Estándar,2014,NF,2014,2014,Mixto
1,SABADO,10:00:00,11:20:00,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
1,SABADO,10:00:00,11:20:00,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
3,LUNES,14:30:00,16:00:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
3,LUNES,14:30:00,16:00:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
3,LUNES,16:00:00,17:30:00,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
3,LUNES,16:00:00,17:30:00,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
3,LUNES,17:30:00,19:00:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
3,LUNES,17:30:00,19:00:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
11,LUNES,15:45:00,16:45:00,20,4,activo,100,Estándar,adulto +18,,1900,2008,Mixto
12,LUNES,15:00:00,16:00:00,20,4,activo,100,Estándar,2005-2009,AVANZADO,2005,2009,Mixto
5,LUNES,16:00:00,17:00:00,20,0,activo,60,Económico,adulto +18,,1900,2008,Femenino
3,MIERCOLES,14:30:00,16:00:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
3,MIERCOLES,14:30:00,16:00:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
3,MIERCOLES,16:00:00,17:30:00,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
3,MIERCOLES,16:00:00,17:30:00,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
3,MIERCOLES,17:30:00,19:00:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
3,MIERCOLES,17:30:00,19:00:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
11,MIERCOLES,15:45:00,16:45:00,20,0,activo,100,Estándar,adulto +18,,1900,2008,Mixto
3,VIERNES,14:30:00,16:00:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
3,VIERNES,14:30:00,16:00:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
3,VIERNES,16:00:00,17:30:00,20,1,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
3,VIERNES,16:00:00,17:30:00,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
3,VIERNES,17:30:00,19:00:00,20,1,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
3,VIERNES,17:30:00,19:00:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
11,VIERNES,15:45:00,16:45:00,20,0,activo,100,Estándar,adulto +18,,1900,2008,Mixto
12,VIERNES,15:00:00,16:00:00,20,0,activo,100,Estándar,2005-2009,,2005,2009,Mixto
5,VIERNES,16:00:00,17:00:00,20,0,activo,60,Económico,adulto +18,,1900,2008,Femenino
4,MARTES,14:30:00,16:00:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
4,MARTES,14:30:00,16:00:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
4,MARTES,16:00:00,17:30:00,20,0,activo,120,Estándar,2014,,2014,2014,Mixto
4,MARTES,16:00:00,17:30:00,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
4,MARTES,17:30:00,19:00:00,20,0,activo,120,Estándar,2009,,2009,2009,Mixto
4,MARTES,17:30:00,19:00:00,20,0,activo,120,Estándar,2010-2011,,2010,2011,Mixto
4,JUEVES,14:30:00,16:00:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
4,JUEVES,14:30:00,16:00:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
4,JUEVES,16:00:00,17:30:00,20,0,activo,120,Estándar,2011,,2011,2011,Mixto
4,JUEVES,16:00:00,17:30:00,20,1,activo,120,Estándar,2012-2013,,2012,2013,Mixto
4,JUEVES,17:30:00,19:00:00,20,0,activo,120,Estándar,2009-2008,,2008,2009,Mixto
4,JUEVES,17:30:00,19:00:00,20,1,activo,120,Estándar,2010-2011,,2010,2011,Mixto
4,SABADO,08:30:00,10:00:00,20,0,activo,120,Estándar,2009-2008,,2008,2009,Mixto
4,SABADO,08:30:00,10:00:00,20,1,activo,120,Estándar,2010-2011,,2010,2011,Mixto
4,SABADO,10:00:00,11:30:00,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
4,SABADO,10:00:00,11:30:00,20,0,activo,120,Estándar,2014,,2014,2014,Mixto
4,SABADO,11:30:00,13:00:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
4,SABADO,11:30:00,13:00:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
5,LUNES,17:00:00,18:00:00,20,0,activo,60,Económico,adulto +18,,1900,2008,Femenino
12,MIERCOLES,15:00:00,16:00:00,20,1,activo,100,Estándar,2005-2009,,2005,2009,Mixto
5,MIERCOLES,16:00:00,17:00:00,20,1,activo,60,Económico,adulto +18,,1900,2008,Femenino
5,MIERCOLES,17:00:00,18:00:00,20,1,activo,60,Económico,adulto +18,,1900,2008,Femenino
5,VIERNES,17:00:00,18:00:00,20,1,activo,60,Económico,adulto +18,,1900,2008,Femenino
